Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
2021-07-17,488273,53948,0,393610,148611
2021-07-18,488986,53948,0,393718,149216
2021-07-19,500628,55040,0,395886,159782
2021-07-20,508752,55175,0,397984,165943
2021-07-21,511188,55175,0,398354,168009
2021-07-22,520570,55175,0,402708,173037
2021-07-23,530393,55286,0,406814,178865
2021-07-24,546086,56056,0,420133,182009
2021-07-25,568369,56076,0,439435,185010
2021-07-26,581084,58802,0,453192,186694
2021-07-27,581982,64299,0,458662,187619
2021-07-28,582231,64299,0,458866,187664
2021-07-29,597666,64299,0,472571,189394
2021-07-30,612500,66545,0,488425,190620
2021-07-31,623276,67834,0,499378,191732
2021-08-01,625184,67832,0,501192,191824
2021-08-02,625354,68225,0,501696,191883
2021-08-03,650277,68543,0,525549,193271
2021-08-04,653024,68826,0,528086,193764
2021-08-05,653379,68849,0,528421,193807
2021-08-06,663714,73802,0,542170,195346
2021-08-07,666908,76996,0,547693,196211
2021-08-08,666940,76996,0,547723,196213
2021-08-09,682626,77881,0,561001,199506
2021-08-10,683405,78032,0,561560,199877
2021-08-11,683608,78061,0,561752,199917
2021-08-12,692891,82579,0,573399,202071
2021-08-13,708052,86038,0,588004,206086
2021-08-14,725594,87955,0,602787,210762
2021-08-15,740682,88746,0,616117,213311
2021-08-16,743388,89246,0,618417,214217
2021-08-17,744547,89393,0,619364,214576
2021-08-18,745311,89483,0,619926,214868
2021-08-19,745387,89515,0,620000,214902
2021-08-20,745439,89515,0,620035,214919
2021-08-21,745442,89515,0,620035,214922
2021-08-22,745442,89515,0,620035,214922
2021-08-23,745602,89515,0,620143,214974
2021-08-24,754761,89907,0,623401,221267
2021-08-25,762110,90314,0,625614,226810
2021-08-26,766101,91345,0,626699,230747
2021-08-27,772272,92701,0,627959,237014
2021-08-28,774197,93460,0,628498,239159
2021-08-29,774289,93460,0,628501,239248
2021-08-30,775091,93756,0,628655,240192
