Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
2021-08-02,1535027,148955,1228,1186078,499132
2021-08-03,1565351,151691,1969,1207894,511117
2021-08-04,1577595,154571,1969,1217493,516642
2021-08-05,1586878,157822,2092,1224244,522548
2021-08-06,1601936,160478,2092,1235819,528687
2021-08-07,1607726,164021,2092,1240637,533202
2021-08-08,1610880,164351,2092,1243597,533726
2021-08-09,1633659,167188,2227,1261096,541978
2021-08-10,1638189,174276,2227,1269160,545532
2021-08-11,1646522,175905,2224,1278298,546353
2021-08-12,1670986,179896,2224,1304170,548936
2021-08-13,1718714,180765,2275,1349096,552658
2021-08-14,1768010,184067,2275,1392634,561718
2021-08-15,1786607,184659,2275,1409123,564418
2021-08-16,1820791,185076,2275,1436455,571687
2021-08-17,1843947,185812,2275,1455305,576729
2021-08-18,1871693,187929,2313,1480254,581681
2021-08-19,1910042,189259,2313,1515161,586453
2021-08-20,1935728,189458,2313,1539030,588469
2021-08-21,1952576,189527,2313,1555324,589092
2021-08-22,1990159,189544,2313,1590833,591183
2021-08-23,2059994,193977,2313,1658591,597693
2021-08-24,2067815,199102,2313,1667624,601606
2021-08-25,2118774,203097,2313,1714643,609541
2021-08-26,2130638,208788,2335,1728515,613246
2021-08-27,2191779,211668,2335,1783812,621970
2021-08-28,2219728,217343,2335,1810931,628475
2021-08-29,2257361,223341,2335,1849899,633138
2021-08-30,2316545,234463,2335,1911916,641427
