Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
2021-08-01,1619429,149150,2934,1235972,535541
2021-08-02,1646088,149991,3315,1256158,543236
2021-08-03,1688445,150134,3737,1290739,551577
2021-08-04,1701423,150713,4072,1302841,553367
2021-08-05,1720332,151065,4235,1317604,558028
2021-08-06,1734902,152676,4359,1331272,560665
2021-08-07,1759330,152905,4491,1352409,564317
2021-08-08,1765579,152923,4491,1358415,564578
2021-08-09,1785682,154073,4579,1376054,568280
2021-08-10,1792705,159790,4608,1387801,569302
2021-08-11,1801018,162804,4636,1398018,570440
2021-08-12,1826181,169334,4646,1425993,574168
2021-08-13,1862123,172566,4657,1460330,579016
2021-08-14,1907964,179917,4671,1506653,585899
