Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
2021-07-13,1878341,172817,1728,1594298,458588
2021-07-14,1901577,173692,2337,1612139,465467
2021-07-15,1927851,175927,2420,1628733,477465
2021-07-16,1943592,177951,2555,1640495,483603
2021-07-17,1976158,180341,2557,1658800,500256
2021-07-18,1981044,180443,2561,1662062,501986
2021-07-19,2020029,182497,2561,1681453,523634
2021-07-20,2048329,185192,2944,1698507,537958
2021-07-21,2063885,185886,2959,1709062,543668
2021-07-22,2107358,189584,3485,1731322,569105
2021-07-23,2157499,192966,3485,1753653,600297
2021-07-24,2187745,194901,3694,1772432,613908
2021-07-25,2200383,195822,4001,1778826,621380
2021-07-26,2233571,200171,4003,1802600,635145
2021-07-27,2249346,204484,4623,1818136,640317
2021-07-28,2259281,207912,4623,1829153,642663
2021-07-29,2269462,213375,4623,1842531,644929
2021-07-30,2312164,216321,4623,1867119,665989
2021-07-31,2361227,221654,4623,1906495,681009
